,City,Year,Month,Temperature,Energy,MonthNo,LogEnergy
0,"Atlanta, Georgia",1,Jan,11,7,1,2.0794415416798357
1,"Atlanta, Georgia",1,Feb,14,3,2,1.3862943611198906
2,"Atlanta, Georgia",1,Mar,18,4,3,1.6094379124341003
3,"Atlanta, Georgia",1,Apr,23,4,4,1.6094379124341003
4,"Atlanta, Georgia",1,May,27,3,5,1.3862943611198906
5,"Atlanta, Georgia",1,Jun,30,3,6,1.3862943611198906
6,"Atlanta, Georgia",1,Jul,32,2,7,1.0986122886681098
7,"Atlanta, Georgia",1,Aug,31,3,8,1.3862943611198906
8,"Atlanta, Georgia",1,Sep,28,2,9,1.0986122886681098
9,"Atlanta, Georgia",1,Oct,23,3,10,1.3862943611198906
10,"Atlanta, Georgia",1,Nov,18,6,11,1.9459101490553132
11,"Atlanta, Georgia",1,Dec,12,7,12,2.0794415416798357
12,"Atlanta, Georgia",2,Jan,1,18,1,2.9444389791664403
13,"Atlanta, Georgia",2,Feb,3,17,2,2.8903717578961645
14,"Atlanta, Georgia",2,Mar,7,9,3,2.302585092994046
15,"Atlanta, Georgia",2,Apr,11,4,4,1.6094379124341003
16,"Atlanta, Georgia",2,May,16,3,5,1.3862943611198906
17,"Atlanta, Georgia",2,Jun,20,5,6,1.791759469228055
18,"Atlanta, Georgia",2,Jul,22,3,7,1.3862943611198906
19,"Atlanta, Georgia",2,Aug,22,2,8,1.0986122886681098
20,"Atlanta, Georgia",2,Sep,18,4,9,1.6094379124341003
21,"Atlanta, Georgia",2,Oct,12,9,10,2.302585092994046
22,"Atlanta, Georgia",2,Nov,7,11,11,2.4849066497880004
23,"Atlanta, Georgia",2,Dec,3,12,12,2.5649493574615367
24,"Austin, Texas",1,Jan,16,1,1,0.6931471805599453
25,"Austin, Texas",1,Feb,18,3,2,1.3862943611198906
26,"Austin, Texas",1,Mar,22,2,3,1.0986122886681098
27,"Austin, Texas",1,Apr,27,2,4,1.0986122886681098
28,"Austin, Texas",1,May,30,3,5,1.3862943611198906
29,"Austin, Texas",1,Jun,33,1,6,0.6931471805599453
30,"Austin, Texas",1,Jul,35,1,7,0.6931471805599453
31,"Austin, Texas",1,Aug,36,2,8,1.0986122886681098
32,"Austin, Texas",1,Sep,33,0,9,0.0
33,"Austin, Texas",1,Oct,28,1,10,0.6931471805599453
34,"Austin, Texas",1,Nov,22,2,11,1.0986122886681098
35,"Austin, Texas",1,Dec,17,1,12,0.6931471805599453
36,"Austin, Texas",2,Jan,5,7,1,2.0794415416798357
37,"Austin, Texas",2,Feb,7,10,2,2.3978952727983707
38,"Austin, Texas",2,Mar,11,7,3,2.0794415416798357
39,"Austin, Texas",2,Apr,15,3,4,1.3862943611198906
40,"Austin, Texas",2,May,19,4,5,1.6094379124341003
41,"Austin, Texas",2,Jun,22,4,6,1.6094379124341003
42,"Austin, Texas",2,Jul,24,0,7,0.0
43,"Austin, Texas",2,Aug,24,4,8,1.6094379124341003
44,"Austin, Texas",2,Sep,21,2,9,1.0986122886681098
45,"Austin, Texas",2,Oct,16,4,10,1.6094379124341003
46,"Austin, Texas",2,Nov,10,7,11,2.0794415416798357
47,"Austin, Texas",2,Dec,6,8,12,2.1972245773362196
48,"Baltimore, Maryland",1,Jan,5,13,1,2.6390573296152584
49,"Baltimore, Maryland",1,Feb,7,19,2,2.995732273553991
50,"Baltimore, Maryland",1,Mar,12,10,3,2.3978952727983707
51,"Baltimore, Maryland",1,Apr,18,11,4,2.4849066497880004
52,"Baltimore, Maryland",1,May,23,13,5,2.6390573296152584
53,"Baltimore, Maryland",1,Jun,28,9,6,2.302585092994046
54,"Baltimore, Maryland",1,Jul,31,9,7,2.302585092994046
55,"Baltimore, Maryland",1,Aug,30,5,8,1.791759469228055
56,"Baltimore, Maryland",1,Sep,26,6,9,1.9459101490553132
57,"Baltimore, Maryland",1,Oct,19,10,10,2.3978952727983707
58,"Baltimore, Maryland",1,Nov,14,15,11,2.772588722239781
59,"Baltimore, Maryland",1,Dec,7,13,12,2.6390573296152584
60,"Baltimore, Maryland",2,Jan,-4,19,1,2.995732273553991
61,"Baltimore, Maryland",2,Feb,-3,17,2,2.8903717578961645
62,"Baltimore, Maryland",2,Mar,1,21,3,3.091042453358316
63,"Baltimore, Maryland",2,Apr,6,19,4,2.995732273553991
64,"Baltimore, Maryland",2,May,11,9,5,2.302585092994046
65,"Baltimore, Maryland",2,Jun,17,13,6,2.6390573296152584
66,"Baltimore, Maryland",2,Jul,19,12,7,2.5649493574615367
67,"Baltimore, Maryland",2,Aug,18,7,8,2.0794415416798357
68,"Baltimore, Maryland",2,Sep,14,15,9,2.772588722239781
69,"Baltimore, Maryland",2,Oct,7,17,10,2.8903717578961645
70,"Baltimore, Maryland",2,Nov,3,22,11,3.1354942159291497
71,"Baltimore, Maryland",2,Dec,-2,11,12,2.4849066497880004
72,"Birmingham, Alabama",1,Jan,12,1,1,0.6931471805599453
73,"Birmingham, Alabama",1,Feb,15,4,2,1.6094379124341003
74,"Birmingham, Alabama",1,Mar,19,0,3,0.0
75,"Birmingham, Alabama",1,Apr,24,1,4,0.6931471805599453
76,"Birmingham, Alabama",1,May,28,2,5,1.0986122886681098
77,"Birmingham, Alabama",1,Jun,31,0,6,0.0
78,"Birmingham, Alabama",1,Jul,33,1,7,0.6931471805599453
79,"Birmingham, Alabama",1,Aug,33,0,8,0.0
80,"Birmingham, Alabama",1,Sep,30,0,9,0.0
81,"Birmingham, Alabama",1,Oct,24,0,10,0.0
82,"Birmingham, Alabama",1,Nov,19,2,11,1.0986122886681098
83,"Birmingham, Alabama",1,Dec,13,3,12,1.3862943611198906
84,"Birmingham, Alabama",2,Jan,1,17,1,2.8903717578961645
