,Month,Temperature,Prediction,City
0,Jan,5.4,15.63392572192883,"Denver, Colorado"
1,Feb,8.9,12.492135336240406,"Denver, Colorado"
2,Mar,13.6,9.185821986309392,"Denver, Colorado"
3,Apr,16.6,7.512747211053242,"Denver, Colorado"
4,May,18.9,6.41867261263411,"Denver, Colorado"
5,Jun,26.4,3.737075906572735,"Denver, Colorado"
6,Jul,32.5,2.288971493679975,"Denver, Colorado"
7,Aug,33.3,2.135304680108347,"Denver, Colorado"
8,Sep,27.7,3.3827052205682318,"Denver, Colorado"
9,Oct,22.4,5.017445104553043,"Denver, Colorado"
10,Nov,15.2,8.256256155093844,"Denver, Colorado"
11,Dec,9.6,11.93891545253099,"Denver, Colorado"
