,City,Year,Month,Temperature,Energy,MonthNo,LogEnergy
288,"Denver, Colorado",1,Jan,7,18,1,2.9444389791664403
289,"Denver, Colorado",1,Feb,8,16,2,2.833213344056216
290,"Denver, Colorado",1,Mar,12,9,3,2.302585092994046
291,"Denver, Colorado",1,Apr,16,10,4,2.3978952727983707
292,"Denver, Colorado",1,May,21,4,5,1.6094379124341003
293,"Denver, Colorado",1,Jun,27,5,6,1.791759469228055
294,"Denver, Colorado",1,Jul,31,2,7,1.0986122886681098
295,"Denver, Colorado",1,Aug,30,3,8,1.3862943611198906
296,"Denver, Colorado",1,Sep,25,4,9,1.6094379124341003
297,"Denver, Colorado",1,Oct,18,6,10,1.9459101490553132
298,"Denver, Colorado",1,Nov,11,9,11,2.302585092994046
299,"Denver, Colorado",1,Dec,6,14,12,2.70805020110221
300,"Denver, Colorado",2,Jan,-8,38,1,3.6635616461296463
301,"Denver, Colorado",2,Feb,-7,37,2,3.6375861597263857
302,"Denver, Colorado",2,Mar,-3,25,3,3.258096538021482
303,"Denver, Colorado",2,Apr,1,18,4,2.9444389791664403
304,"Denver, Colorado",2,May,7,15,5,2.772588722239781
305,"Denver, Colorado",2,Jun,12,13,6,2.6390573296152584
306,"Denver, Colorado",2,Jul,15,9,7,2.302585092994046
307,"Denver, Colorado",2,Aug,14,12,8,2.5649493574615367
308,"Denver, Colorado",2,Sep,9,18,9,2.9444389791664403
309,"Denver, Colorado",2,Oct,2,15,10,2.772588722239781
310,"Denver, Colorado",2,Nov,-4,28,11,3.367295829986474
311,"Denver, Colorado",2,Dec,-9,37,12,3.6375861597263857
